,ind,salinity
0,451.0,0.0
1,1008.0,0.0
2,1115.0,0.0
3,1190.0,0.0
4,1445.0,0.0
5,1456.0,0.0
6,1634.0,0.0
7,1783.0,0.0
8,2081.0,0.0
9,2130.0,0.0
10,2253.0,0.0
11,2706.0,0.0
12,2998.0,0.0
13,3002.0,0.0
14,3633.0,0.0
15,3696.0,0.0
16,3729.0,0.0
17,3747.0,0.0
18,4075.0,0.0
19,4233.0,0.0
20,4243.0,0.0
21,4388.0,0.0
22,4510.0,0.0
23,4732.0,0.0
24,5372.0,0.0
25,5377.0,0.0
26,5594.0,0.0
27,5688.0,0.0
28,5882.0,0.0
29,5913.0,0.0
30,5968.0,0.0
31,6603.0,0.0
32,6618.0,0.0
33,7256.0,0.0
34,7271.0,0.0
35,7892.0,0.0
36,8568.0,0.0
37,9079.0,0.0
38,9207.0,0.0
39,9384.0,0.0
40,9423.0,0.0
41,9612.0,0.0
42,9677.0,0.0
43,9848.0,0.0
44,10062.0,0.0
45,10076.0,0.0
46,10080.0,0.0
47,10593.0,0.0
48,10759.0,0.0
49,10933.0,0.0
50,11020.0,0.0
51,11156.0,0.0
52,11254.0,0.0
53,11355.0,0.0
54,11447.0,0.0
55,11534.0,0.0
56,11757.0,0.0
57,11845.0,0.0
58,11863.0,0.0
59,11941.0,0.0
60,12404.0,0.0
61,12560.0,0.0
62,12886.0,0.0
63,12918.0,0.0
64,12932.0,0.0
65,13378.0,0.0
66,13493.0,0.0
67,13558.0,0.0
68,13631.0,0.0
69,13810.0,0.0
70,14154.0,0.0
71,14203.0,0.0
72,14241.0,0.0
73,14442.0,0.0
74,14591.0,0.0
75,14864.0,0.0
76,14987.0,0.0
77,15209.0,0.0
78,15388.0,0.0
79,15518.0,0.0
80,15642.0,0.0
81,15795.0,0.0
82,16067.0,0.0
83,16325.0,0.0
84,16747.0,0.0
85,16784.0,0.0
86,17462.0,0.0
87,17896.0,0.0
88,18186.0,0.0
89,18372.0,0.0
90,18601.0,0.0
91,18680.0,0.0
92,18747.0,0.0
93,18835.0,0.0
94,18941.0,0.0
95,19027.0,0.0
96,19258.0,0.0
97,19334.0,0.0
98,19955.0,0.0
99,20058.0,0.0
