,ind,salinity
0,193.0,0.0
1,266.0,0.0
2,373.0,0.0
3,1127.0,0.0
4,1133.0,0.0
5,1175.0,0.0
6,1761.0,0.0
7,1788.0,0.0
8,1825.0,0.0
9,2066.0,0.0
10,2105.0,0.0
11,2499.0,0.0
12,2763.0,0.0
13,2882.0,0.0
14,2945.0,0.0
15,3233.0,0.0
16,3296.0,0.0
17,3318.0,0.0
18,3353.0,0.0
19,3953.0,0.0
20,4127.0,0.0
21,4489.0,0.0
22,4931.0,0.0
23,4940.0,0.0
24,4991.0,0.0
25,5035.0,0.0
26,5351.0,0.0
27,5357.0,0.0
28,5415.0,0.0
29,5574.0,0.0
30,5734.0,0.0
31,5928.0,0.0
32,5966.0,0.0
33,6079.0,0.0
34,6269.0,0.0
35,6799.0,0.0
36,6997.0,0.0
37,7064.0,0.0
38,7508.0,0.0
39,7613.0,0.0
40,8014.0,0.0
41,8047.0,0.0
42,8478.0,0.0
43,8660.0,0.0
44,9080.0,0.0
45,9152.0,0.0
46,9163.0,0.0
47,9203.0,0.0
48,9521.0,0.0
49,9988.0,0.0
50,10069.0,0.0
51,10094.0,0.0
52,10105.0,0.0
53,10304.0,0.0
54,10428.0,0.0
55,10465.0,0.0
56,10713.0,0.0
57,10832.0,0.0
58,11061.0,0.0
59,11212.0,0.0
60,11679.0,0.0
61,12301.0,0.0
62,12341.0,0.0
63,12356.0,0.0
64,12391.0,0.0
65,12445.0,0.0
66,12723.0,0.0
67,12851.0,0.0
68,13026.0,0.0
69,13060.0,0.0
70,13604.0,0.0
71,13790.0,0.0
72,13865.0,0.0
73,13960.0,0.0
74,14354.0,0.0
75,14722.0,0.0
76,14843.0,0.0
77,14887.0,0.0
78,15086.0,0.0
79,15402.0,0.0
80,15413.0,0.0
81,15601.0,0.0
82,15612.0,0.0
83,15837.0,0.0
84,16089.0,0.0
85,16102.0,0.0
86,16150.0,0.0
87,16764.0,0.0
88,16980.0,0.0
89,17350.0,0.0
90,17574.0,0.0
91,18227.0,0.0
92,18441.0,0.0
93,18688.0,0.0
94,18951.0,0.0
95,19061.0,0.0
96,19574.0,0.0
97,19706.0,0.0
98,19754.0,0.0
